ld	db	B	MEG	FS	BC	MF1	MF2	ICA	
10637_20140312	1	1	8	1	10	4	8	8	
10638_20140516	1	1	8	1	10	8	8	8	
10662_20140415	1	1	8	1	9	8	8	8	
10711_20140825	1	1	8	1	9	8	8	8	
10767_20140828	1	1	8	1	9	8	8	8	
10772_20140509	1	1	8	1	9	8	8	8	
10811_20140801	1	1	8	1	8	8	8	8	
10814_20140807	1	1	8	1	9	8	8	8	
10822_20140703	1	1	8	1	5	5	5	0	
10873_20141014	1	1	8	1	9	8	8	8	
10891_20140925	1	1	8	1	10	8	8	8	
10895_20140709	1	1	8	1	9	8	8	8	
10997_20140221	1	1	8	1	9	8	8	8	
11162_20140708	1	1	8	1	9	8	8	8	
11178_20140515	0	1	8	1	8	8	8	8	
11216_20141008	1	1	8	1	10	3	2	0	
11228_20140911	1	1	8	1	8	8	8	8	
11229_20140212	1	1	0	1	9	8	8	8	
11243_20140213	1	1	8	1	17	8	8	8	
11246_20140218	1	1	8	1	10	8	8	8	
11250_20140421	1	0	8	1	9	8	8	8	
11250_20140422	1	1	8	1	9	8	8	8	
11253_20140219	1	1	8	1	9	8	8	8	
11255_20140318	1	1	8	1	8	8	8	8	
11258_20140303	1	1	9	1	10	8	8	8	
11262_20140312	1	1	8	1	8	8	8	8	
11263_20140324	1	1	8	1	8	8	8	8	
11265_20140923	1	1	8	1	10	8	8	8	
11274_20140528	1	1	8	1	8	8	8	8	
11275_20140620	1	1	8	1	8	8	8	8	
11277_20140519	1	1	8	1	9	8	8	8	
11278_20140505	1	1	8	1	9	8	8	8	
11279_20140507	1	1	8	1	9	8	8	8	
11280_20140926	1	1	8	1	9	8	8	8	
11282_20141030	1	1	8	1	10	8	8	8	
11287_20140522	1	1	6	1	7	6	6	0	
11288_20140711	1	1	8	1	9	8	8	8	
11302_20140826	1	1	8	1	9	8	8	8	
11304_20140722	1	1	16	1	9	8	8	8	
11305_20140825	1	1	16	1	9	8	8	8	
11310_20140807	1	1	8	1	9	8	8	8	
11311_20140808	1	1	8	1	9	8	8	8	
11313_20141104	1	1	8	1	9	8	8	8	
11314_20141020	1	1	8	1	9	8	8	8	
11315_20140815	1	1	8	1	8	5	8	8	
11316_20140829	1	1	8	1	9	8	8	8	
11317_20141009	0	1	8	1	10	8	8	8	
11318_20141029	1	1	8	1	10	8	8	8	
11319_20140924	1	1	8	1	10	8	8	8	
11320_20140908	1	1	8	1	9	8	8	8	
11321_20140904	1	1	8	1	9	4	8	8	
11322_20140918	1	1	8	1	9	1	8	8	
11323_20141209	1	1	9	1	9	1	8	8	
11324_20141009	1	1	7	1	9	7	7	0	
11325_20140918	1	1	9	1	9	5	8	8	
11326_20141006	1	1	8	1	10	8	8	8	
11328_20141023	1	1	8	1	10	8	8	8	
11329_20141105	1	1	8	1	9	8	8	8	
11331_20141120	1	1	7	1	8	0	0	0	
11335_20141103	1	1	8	1	9	8	8	8	
11336_20141121	0	1	8	1	9	8	8	8	
11337_20141111	1	1	8	1	8	8	8	8	
11338_20141110	1	1	8	1	9	8	8	8	
11342_20150228	0	1	8	1	0	0	0	0	
11343_20140110	1	0	8	1	9	8	8	8	
11343_20150110	1	1	8	1	9	8	8	8	
11344_20141118	1	1	8	1	9	8	8	8	
11345_20141229	1	1	8	1	9	8	8	8	
11346_20141230	1	1	8	1	10	8	8	8	
11347_20141217	1	1	8	1	9	0	8	8	
11350_20141204	1	1	8	1	9	4	8	8	
11353_20141230	1	1	8	1	9	0	1	0	
11366_20150430	0	1	8	1	10	8	8	8	
