ld       	db	MAT	CSV	MEG	PD	EVE	BC	FS	MF1	MF2	ICA	BEM	R	note
10637_20140312	1	1	8	8	8	8	8	1	6	7	8	1	1	NA
10638_20140516	1	1	8	8	4	8	8	1	8	8	8	1	1	NA
10662_20140415	1	1	8	8	8	8	8	1	8	8	8	1	1	NA
10711_20140825	1	1	8	8	8	8	8	1	8	8	8	1	1	NA
10767_20140828	1	1	8	8	8	8	8	1	8	8	8	1	1	NA
10772_20140509	1	1	8	8	1	8	8	1	8	8	8	1	1	NA
10811_20140801	1	1	8	8	8	8	8	1	8	8	8	1	1	NA
10814_20140807	1	1	8	8	8	8	8	1	8	8	8	1	1	NA
10822_20140703	1	1	8	8	8	8	5	1	5	5	0	1	0	NA
10873_20141014	1	1	8	8	8	8	8	1	8	8	8	1	0	NA
10891_20140925	1	1	8	8	7	8	8	1	8	8	8	1	1	NA
10895_20140709	1	1	8	8	8	8	8	1	8	8	8	1	1	NA
10997_20140221	1	1	8	8	8	8	8	1	8	8	8	1	1	NA
11162_20140708	1	1	8	8	8	8	8	1	8	8	8	1	1	NA
11178_20140515	0	1	8	8	0	8	8	1	8	8	8	1	1	NA
11216_20141008	1	1	8	8	2	8	8	1	3	2	0	1	1	sss fails: too many tSSS (all tags marked bad);
11228_20140911	1	1	8	8	8	8	8	1	8	8	8	1	0	NA
11229_20140212	1	1	8	0	8	8	8	1	8	8	8	1	1	NA
11243_20140213	1	1	8	8	8	8	8	1	8	8	8	1	1	NA
11246_20140218	1	1	8	8	7	8	8	1	8	8	8	1	1	NA
11250_20140421	1	1	8	8	8	8	8	1	8	8	8	1	0	was 11250_20140422 , remove this date to match meg date;
11250_20140422	1	1	8	8	4	8	8	1	8	8	8	1	0	NA
11253_20140219	1	1	7	8	7	7	8	1	8	8	8	1	0	NA
11255_20140318	1	1	8	8	0	8	8	1	8	8	8	1	1	NA
11258_20140303	1	1	8	9	8	8	8	1	8	8	8	1	1	NA
11262_20140312	1	1	8	8	4	8	8	1	8	8	8	1	1	NA
11263_20140324	1	1	8	8	8	8	8	1	8	8	8	1	1	NA
11265_20140923	1	1	8	8	8	8	8	1	8	8	8	1	0	NA
11274_20140528	1	1	8	8	0	8	8	1	8	8	8	1	1	NA
11275_20140620	1	1	8	8	0	8	8	1	8	8	8	1	1	NA
11277_20140519	1	1	8	8	5	8	8	1	8	8	8	1	1	NA
11278_20140505	1	1	8	8	8	8	8	1	8	8	8	1	1	NA
11279_20140507	1	1	8	8	8	8	8	1	8	8	8	1	1	NA
11280_20140926	1	1	8	8	7	8	8	1	8	8	8	1	1	NA
11282_20141030	1	1	8	8	8	8	8	1	8	8	8	1	0	NA
11287_20140522	1	1	6	6	0	6	6	1	6	6	0	1	1	no run 7 or 8;
11288_20140711	1	1	8	8	8	8	8	1	8	8	8	1	0	NA
11302_20140826	1	1	8	8	8	8	8	1	8	8	8	1	1	NA
11304_20140722	1	1	8	16	4	8	8	1	8	8	8	1	1	NA
11305_20140825	1	1	8	16	8	8	8	1	8	8	8	1	1	NA
11310_20140807	1	1	8	8	8	8	8	1	8	8	8	1	0	NA
11311_20140808	1	1	8	8	0	8	8	1	8	8	8	1	0	NA
11313_20141104	1	1	7	8	8	7	8	1	8	8	8	1	0	NA
11314_20141020	1	1	8	8	1	8	8	1	8	8	8	1	0	NA
11315_20140815	1	1	8	8	7	8	8	1	5	8	8	1	0	NA
11316_20140829	1	1	8	8	8	8	8	1	8	8	8	1	1	NA
11317_20141009	0	1	8	8	2	8	8	1	8	8	8	1	1	NA
11318_20141029	1	1	8	8	8	0	8	1	8	8	8	1	0	NA
11319_20140924	1	1	8	8	8	8	8	1	8	8	8	1	0	NA
11320_20140908	1	1	7	8	0	7	8	0	8	8	8	0	0	no MR, no head model;
11321_20140904	1	1	8	8	8	8	8	1	4	8	8	1	1	T1 intensity issue, bad FS;
11322_20140918	1	1	7	8	7	7	8	1	1	8	8	1	0	NA
11323_20141209	1	1	8	9	0	8	8	1	1	8	8	1	1	NA
11324_20141009	1	1	8	9	2	7	8	1	8	8	8	1	0	NA
11325_20140918	1	1	8	9	7	8	8	1	5	8	8	1	1	NA
11326_20141006	1	1	8	8	3	8	8	1	8	8	8	1	0	NA
11328_20141023	1	1	8	8	1	8	8	1	8	8	8	1	1	NA
11329_20141105	1	1	8	8	5	8	8	1	8	8	8	1	1	NA
11331_20141120	1	1	7	7	4	0	7	0	0	0	0	0	1	fitted sphere outside censors; missing run 8;
11335_20141103	1	1	8	8	7	0	8	1	8	8	8	1	0	NA
11336_20141121	0	1	8	8	8	0	8	1	8	8	8	1	1	NA
11337_20141111	1	1	8	8	7	8	8	1	8	8	8	1	0	NA
11338_20141110	1	1	8	8	4	8	8	1	8	8	8	1	1	NA
11342_20150228	0	1	8	8	0	8	0	1	0	0	0	1	1	NA
11343_20140110	1	0	0	8	0	0	8	1	8	8	8	1	0	dup: fifs in 11343_20150110, this is actuall MEG date;
11343_20150110	1	1	8	8	8	8	8	1	8	8	8	1	0	MEG fif missnamed is actually 11343_2014011 ;
11344_20141118	1	1	8	8	0	8	8	1	8	8	8	1	1	NA
11345_20141229	1	1	8	8	7	8	9	1	8	8	8	1	1	NA
11346_20141230	1	1	8	8	8	8	8	1	8	8	8	1	1	NA
11347_20141217	1	1	8	8	8	8	8	1	0	8	8	1	1	NA
11350_20141204	1	1	8	8	7	0	8	1	4	8	8	1	0	NA
11353_20141230	1	1	8	8	8	8	8	1	1	1	0	1	1	sss fails: too man tSSS;
11366_20150430	0	1	8	8	1	8	8	1	8	8	8	1	1	NA
